Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,369.84,45,1,0.016963,315.91,70,0,0.0,331.63,44,0,0.0,331.51
August,1,0:30,5,0,0.0,377.66,31,0,0.00677,345.2,53,0,0.0,333.62,30,0,0.0,337.98
August,1,1:00,4,0,0.0,295.49,15,0,0.000647,352.98,39,0,0.0,341.97,23,0,0.0,331.69
August,1,1:30,2,0,0.0,235.17,9,0,7e-06,304.71,29,0,0.0,334.96,18,0,0.0,325.54
August,1,2:00,2,0,0.0,303.48,7,0,0.0,297.0,19,0,0.0,327.9,12,0,0.0,319.94
August,1,2:30,2,0,0.0,318.62,5,0,0.0,304.66,17,0,0.0,337.27,9,0,0.0,337.35
August,1,3:00,2,0,0.0,299.64,4,0,0.0,275.51,13,0,0.0,320.34,4,0,0.0,359.91
August,1,3:30,2,0,0.0,258.03,4,0,0.0,210.71,13,0,0.0,309.67,2,0,0.0,326.7
August,1,4:00,2,0,0.0,266.85,4,0,0.0,254.79,13,0,0.0,345.14,2,0,0.0,399.68
August,1,4:30,2,0,0.0,266.62,4,0,0.0,309.37,13,0,0.0,354.74,2,0,0.0,394.82
August,1,5:00,2,0,0.0,297.99,4,0,5.2e-05,285.32,14,0,0.0,376.86,2,0,0.0,304.0
August,1,5:30,2,0,0.0,238.37,4,0,0.007868,306.11,17,0,0.0,331.59,3,0,0.0,271.27
August,1,6:00,3,0,0.0,266.0,5,1,0.130684,354.88,27,0,7e-06,302.11,11,0,1.1e-05,262.64
August,1,6:30,3,0,0.0,300.76,9,2,0.201117,342.48,45,0,0.000704,284.16,20,0,0.001027,273.62
August,1,7:00,8,0,0.0,284.53,26,1,0.025203,313.6,87,1,0.007682,271.33,35,0,0.012703,289.05
August,1,7:30,15,0,0.0,307.06,45,0,0.000684,323.88,141,2,0.013182,272.02,63,1,0.019307,305.36
August,1,8:00,47,0,0.0,293.89,87,0,0.000359,321.9,272,1,0.002617,284.45,119,0,0.003881,304.51
August,1,8:30,86,0,1e-06,304.3,134,1,0.005271,322.87,415,1,0.002633,302.23,177,1,0.003016,300.31
August,1,9:00,132,0,0.000126,304.96,231,3,0.013018,312.81,616,7,0.011429,308.95,281,3,0.009371,303.9
August,1,9:30,169,0,0.002099,304.55,301,5,0.01679,320.17,778,15,0.019412,320.66,340,6,0.016549,299.85
August,1,10:00,196,1,0.005136,314.66,367,7,0.01995,328.67,912,11,0.012124,328.61,404,8,0.020818,305.75
August,1,10:30,234,1,0.004017,320.28,422,11,0.027114,339.45,1026,12,0.011694,337.65,448,12,0.027574,314.53
August,1,11:00,252,3,0.010709,322.61,475,12,0.02456,342.91,1108,15,0.013622,341.89,493,10,0.020081,322.3
August,1,11:30,263,5,0.019996,322.76,521,12,0.02369,344.82,1143,20,0.017737,347.02,516,5,0.010115,325.41
August,1,12:00,269,8,0.031549,330.87,559,11,0.020041,343.3,1151,22,0.019201,348.36,535,5,0.008786,329.25
August,1,12:30,270,11,0.041464,332.46,574,18,0.032157,347.1,1153,23,0.019898,348.18,540,7,0.013283,327.75
August,1,13:00,269,5,0.018974,339.51,595,24,0.040421,347.77,1148,20,0.017801,350.72,540,9,0.016936,327.33
August,1,13:30,270,2,0.005938,344.67,611,27,0.044847,346.36,1145,24,0.020642,352.74,543,11,0.020938,324.45
August,1,14:00,275,3,0.011067,345.89,622,26,0.042335,349.63,1161,22,0.019214,353.18,557,14,0.02465,327.07
August,1,14:30,279,3,0.011117,343.31,624,18,0.029406,353.25,1160,10,0.009036,352.1,558,20,0.036145,328.6
August,1,15:00,277,1,0.003144,340.59,619,10,0.01589,346.36,1155,2,0.001732,353.68,557,12,0.021142,320.29
August,1,15:30,276,0,0.000143,348.95,613,9,0.014054,342.49,1147,1,0.000673,351.37,554,6,0.01063,318.41
August,1,16:00,272,0,0.000145,350.44,615,8,0.012772,352.69,1136,2,0.00203,352.72,555,5,0.008202,326.93
August,1,16:30,257,1,0.003324,332.86,598,6,0.009697,359.92,1096,3,0.002789,351.7,539,3,0.006301,326.75
August,1,17:00,227,3,0.011952,341.04,570,5,0.008247,357.65,1041,4,0.004005,353.39,512,3,0.006229,327.52
August,1,17:30,201,2,0.009664,350.86,547,7,0.012472,359.56,971,3,0.002596,353.17,487,2,0.003895,329.0
August,1,18:00,172,1,0.004574,356.16,485,11,0.022422,362.11,860,4,0.004576,352.59,425,1,0.003504,333.24
August,1,18:30,148,1,0.006766,361.81,442,10,0.022188,359.22,767,4,0.005483,355.36,369,1,0.001831,342.33
August,1,19:00,98,0,0.003617,354.75,390,7,0.017058,352.59,685,6,0.008248,354.59,341,1,0.001851,340.83
August,1,19:30,77,0,0.000215,349.31,352,9,0.024585,344.77,609,8,0.012456,352.59,310,0,0.000749,336.02
August,1,20:00,59,0,2e-06,327.91,305,15,0.048802,341.94,507,7,0.013442,353.05,261,0,0.001219,324.34
August,1,20:30,50,0,0.0,315.03,267,9,0.034096,329.03,434,4,0.00824,351.09,230,2,0.008017,317.99
