Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,10,0,0.0,358.94,49,1,0.013045,308.41,104,0,0.0,321.03,71,0,0.0,320.51
August,1,0:30,9,0,0.0,366.53,36,0,0.005013,337.01,84,0,0.0,322.96,51,0,0.0,326.76
August,1,1:00,6,0,0.0,286.78,17,0,0.000464,344.6,64,0,0.0,331.04,38,0,0.0,320.69
August,1,1:30,4,0,0.0,228.24,9,0,5e-06,297.48,51,0,0.0,324.26,27,0,0.0,314.74
August,1,2:00,2,0,0.0,294.53,7,0,0.0,289.96,34,0,0.0,317.43,19,0,0.0,309.33
August,1,2:30,2,0,0.0,309.23,5,0,0.0,297.43,23,0,0.0,326.49,11,0,0.0,326.15
August,1,3:00,2,0,0.0,290.81,3,0,0.0,268.97,19,0,0.0,310.11,5,0,0.0,347.97
August,1,3:30,2,0,0.0,250.42,3,0,0.0,205.71,18,0,0.0,299.78,1,0,0.0,315.86
August,1,4:00,2,0,0.0,258.98,3,0,0.0,248.74,17,0,0.0,334.11,0,0,0.0,386.41
August,1,4:30,2,0,0.0,258.76,4,0,0.0,302.03,17,0,0.0,343.4,0,0,0.0,381.72
August,1,5:00,2,0,0.0,289.2,4,0,3.8e-05,278.55,17,0,0.0,364.82,0,0,0.0,293.92
August,1,5:30,2,0,0.0,231.35,4,0,0.006522,298.85,21,0,0.0,320.99,4,0,0.0,262.27
August,1,6:00,3,0,0.0,258.16,6,1,0.096562,346.46,33,0,6e-06,292.46,14,0,1e-05,253.92
August,1,6:30,5,0,0.0,291.89,11,2,0.145919,334.36,60,0,0.000516,275.08,25,0,0.000888,264.54
August,1,7:00,10,0,0.0,276.14,17,1,0.032744,306.16,102,1,0.006396,262.66,46,0,0.010461,279.46
August,1,7:30,22,0,0.0,298.01,30,0,0.000875,316.19,175,2,0.010396,263.32,76,1,0.017605,295.23
August,1,8:00,47,0,0.0,285.23,49,0,0.000536,314.26,284,1,0.002451,275.36,126,1,0.004012,294.4
August,1,8:30,79,0,1e-06,295.33,85,1,0.007008,315.21,413,1,0.002588,292.57,191,1,0.003064,290.34
August,1,9:00,114,0,0.000151,295.97,163,3,0.015561,305.39,566,7,0.012151,299.08,264,3,0.010945,293.82
August,1,9:30,144,0,0.002561,295.57,226,4,0.018894,312.57,707,15,0.020907,310.42,333,6,0.01857,289.9
August,1,10:00,176,1,0.005981,305.38,279,6,0.022123,320.87,843,11,0.01283,318.11,400,9,0.023088,295.61
August,1,10:30,214,1,0.004598,310.84,334,10,0.028883,331.4,954,12,0.012295,326.86,469,14,0.028924,304.09
August,1,11:00,239,3,0.011769,313.1,387,10,0.025476,334.77,1036,15,0.014238,330.97,525,11,0.0207,311.61
August,1,11:30,251,5,0.02187,313.25,423,10,0.024644,336.64,1067,20,0.018577,335.94,554,6,0.010349,314.61
August,1,12:00,272,9,0.032637,321.11,443,9,0.021347,335.16,1090,22,0.019838,337.23,573,5,0.009013,318.32
August,1,12:30,285,12,0.041035,322.66,462,16,0.033691,338.86,1090,22,0.02058,337.05,591,8,0.013322,316.87
August,1,13:00,287,5,0.018576,329.5,481,20,0.042195,339.52,1076,20,0.018569,339.52,602,10,0.016665,316.46
August,1,13:30,279,2,0.005991,334.51,500,23,0.046182,338.14,1081,23,0.021388,341.47,603,12,0.020687,313.68
August,1,14:00,271,3,0.011755,335.7,515,22,0.043107,341.33,1087,22,0.020067,341.9,599,15,0.025152,316.22
August,1,14:30,269,3,0.012029,333.19,515,15,0.030084,344.86,1061,10,0.009664,340.85,601,22,0.036804,317.7
August,1,15:00,261,1,0.003482,330.55,500,8,0.016592,338.14,1016,2,0.001925,342.38,587,13,0.022031,309.66
August,1,15:30,256,0,0.000161,338.66,490,7,0.014847,334.36,984,1,0.000767,340.14,556,6,0.011627,307.84
August,1,16:00,256,0,0.000161,340.1,484,7,0.013693,344.32,945,2,0.002387,341.45,531,5,0.009423,316.08
August,1,16:30,239,1,0.003732,323.05,460,5,0.010632,351.38,892,3,0.003351,340.46,504,4,0.007401,315.91
August,1,17:00,217,3,0.013025,330.99,444,4,0.00893,349.16,839,4,0.004857,342.1,467,4,0.007498,316.66
August,1,17:30,195,2,0.010436,340.52,421,6,0.013666,351.03,803,2,0.003069,341.89,433,2,0.004805,318.08
August,1,18:00,173,1,0.004741,345.66,391,9,0.023498,353.52,750,4,0.005131,341.33,405,2,0.004038,322.19
August,1,18:30,146,1,0.007143,351.15,354,8,0.02339,350.7,678,4,0.006061,344.01,367,1,0.002017,330.97
