Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,10,0,0.0,349.42,51,1,0.013045,310.24,108,0,0.0,318.6,72,0,0.0,316.54
August,1,0:30,9,0,0.0,356.81,37,0,0.005013,339.01,87,0,0.0,320.51,52,0,0.0,322.72
August,1,1:00,6,0,0.0,279.18,18,0,0.000464,346.65,67,0,0.0,328.53,39,0,0.0,316.72
August,1,1:30,4,0,0.0,222.19,9,0,5e-06,299.25,53,0,0.0,321.81,28,0,0.0,310.84
August,1,2:00,2,0,0.0,286.72,7,0,0.0,291.68,36,0,0.0,315.02,19,0,0.0,305.5
August,1,2:30,2,0,0.0,301.03,5,0,0.0,299.2,24,0,0.0,324.02,12,0,0.0,322.11
August,1,3:00,2,0,0.0,283.1,4,0,0.0,270.56,20,0,0.0,307.76,5,0,0.0,343.66
August,1,3:30,2,0,0.0,243.78,3,0,0.0,206.93,19,0,0.0,297.51,1,0,0.0,311.95
August,1,4:00,2,0,0.0,252.11,3,0,0.0,250.22,18,0,0.0,331.58,0,0,0.0,381.63
August,1,4:30,2,0,0.0,251.9,4,0,0.0,303.82,18,0,0.0,340.8,0,0,0.0,376.99
August,1,5:00,2,0,0.0,281.53,4,0,3.8e-05,280.2,18,0,0.0,362.05,0,0,0.0,290.28
August,1,5:30,2,0,0.0,225.21,4,0,0.006522,300.62,22,0,0.0,318.56,4,0,0.0,259.02
August,1,6:00,3,0,0.0,251.31,6,1,0.096562,348.52,35,0,6e-06,290.25,14,0,1e-05,250.78
August,1,6:30,5,0,0.0,284.15,11,2,0.145919,336.34,62,0,0.000516,273.0,26,0,0.000888,261.26
August,1,7:00,10,0,0.0,268.82,17,1,0.032744,307.97,107,1,0.006396,260.67,47,0,0.010461,276.0
August,1,7:30,22,0,0.0,290.11,30,0,0.000875,318.07,182,2,0.010396,261.33,78,1,0.017605,291.57
August,1,8:00,48,0,0.0,277.67,50,0,0.000536,316.13,295,1,0.002451,273.28,129,1,0.004012,290.76
August,1,8:30,80,0,1e-06,287.5,87,1,0.007008,317.08,430,1,0.002588,290.35,195,1,0.003064,286.75
August,1,9:00,116,0,0.000151,288.12,167,3,0.015561,307.2,590,7,0.012151,296.81,270,3,0.010945,290.18
August,1,9:30,146,0,0.002561,287.73,231,4,0.018894,314.42,736,15,0.020907,308.07,340,6,0.01857,286.31
August,1,10:00,178,1,0.005981,297.28,286,6,0.022123,322.77,878,11,0.01283,315.7,409,9,0.023088,291.94
