Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,5,0,0.0,358.0,38,1,0.013569,322.75,66,0,0.0,326.42,43,0,0.0,319.44
August,1,0:30,4,0,0.0,365.57,28,0,0.005201,352.68,49,0,0.0,328.38,29,0,0.0,325.66
August,1,1:00,3,0,0.0,286.03,12,0,0.000522,360.63,36,0,0.0,336.59,21,0,0.0,319.61
August,1,1:30,2,0,0.0,227.64,7,0,6e-06,311.32,26,0,0.0,329.7,16,0,0.0,313.68
August,1,2:00,2,0,0.0,293.76,5,0,0.0,303.44,17,0,0.0,322.75,11,0,0.0,308.29
August,1,2:30,2,0,0.0,308.42,4,0,0.0,311.27,14,0,0.0,331.97,8,0,0.0,325.06
August,1,3:00,1,0,0.0,290.05,3,0,0.0,281.48,12,0,0.0,315.31,4,0,0.0,346.8
August,1,3:30,2,0,0.0,249.77,3,0,0.0,215.28,11,0,0.0,304.81,3,0,0.0,314.8
August,1,4:00,1,0,0.0,258.3,3,0,0.0,260.31,11,0,0.0,339.71,3,0,0.0,385.12
August,1,4:30,2,0,0.0,258.08,3,0,0.0,316.08,11,0,0.0,349.16,3,0,0.0,380.44
August,1,5:00,2,0,0.0,288.44,3,0,3.6e-05,291.51,12,0,0.0,370.94,3,0,0.0,292.93
August,1,5:30,2,0,0.0,230.74,3,0,0.00608,312.75,16,0,0.0,326.38,4,0,0.0,261.39
August,1,6:00,2,0,0.0,257.48,4,0,0.101292,362.57,25,0,2e-05,297.37,11,0,2.6e-05,253.07
August,1,6:30,3,0,0.0,291.12,9,1,0.134502,349.91,43,0,0.001895,279.7,20,0,0.002468,263.65
August,1,7:00,7,0,0.0,275.42,25,0,0.018093,320.4,76,2,0.023019,267.07,32,1,0.032119,278.52
August,1,7:30,13,0,0.0,297.23,41,0,0.000508,330.9,129,5,0.037719,267.74,60,3,0.048326,294.24
August,1,8:00,41,0,0.0,284.48,81,0,0.000262,328.88,254,2,0.007316,279.98,107,1,0.010201,293.41
August,1,8:30,71,0,2e-06,294.56,126,0,0.003798,329.87,370,3,0.007723,297.48,154,1,0.008148,289.37
August,1,9:00,129,0,0.000203,295.19,224,2,0.009078,319.59,581,18,0.031652,304.1,260,6,0.023878,292.83
August,1,9:30,170,1,0.003297,294.79,291,3,0.01178,327.11,749,39,0.052725,315.63,315,13,0.042163,288.93
August,1,10:00,193,2,0.008259,304.58,351,5,0.014156,335.79,879,29,0.032909,323.44,378,20,0.052472,294.61
August,1,10:30,226,1,0.00658,310.03,401,8,0.019344,346.81,979,31,0.032027,332.34,418,29,0.069651,303.07
August,1,11:00,239,4,0.017864,312.28,454,8,0.017463,350.35,1052,39,0.037494,336.52,459,23,0.050775,310.56
August,1,11:30,248,8,0.033637,312.42,498,8,0.016823,352.3,1086,53,0.048786,341.57,485,12,0.025387,313.55
August,1,12:00,252,13,0.053169,320.27,529,8,0.01436,350.75,1097,58,0.052662,342.88,508,11,0.021855,317.25
August,1,12:30,252,18,0.070461,321.81,538,13,0.023251,354.62,1096,60,0.054737,342.71,511,17,0.033079,315.81
August,1,13:00,251,8,0.032123,328.64,560,16,0.029137,355.31,1091,53,0.048953,345.22,512,22,0.042123,315.4
August,1,13:30,254,3,0.009969,333.63,580,19,0.03204,353.87,1094,62,0.056502,347.2,516,27,0.051935,312.63
August,1,14:00,261,5,0.018449,334.82,588,18,0.030346,357.21,1113,58,0.052422,347.64,532,32,0.060889,315.15
August,1,14:30,266,5,0.018471,332.32,594,12,0.02097,360.9,1109,27,0.024724,346.57,533,48,0.089192,316.63
August,1,15:00,265,1,0.005202,329.68,589,7,0.011331,353.87,1101,5,0.004751,348.12,531,28,0.05226,308.62
August,1,15:30,265,0,0.000236,337.77,582,6,0.010046,349.91,1094,2,0.001845,345.85,530,14,0.026196,306.81
August,1,16:00,259,0,0.00024,339.21,581,5,0.009171,360.34,1087,6,0.005549,347.18,537,11,0.019997,315.02
August,1,16:30,251,1,0.005375,322.2,567,4,0.006942,367.72,1057,8,0.007561,346.18,518,8,0.015468,314.85
August,1,17:00,222,4,0.019298,330.12,541,3,0.005896,365.4,999,11,0.010908,347.84,491,8,0.015328,315.59
August,1,17:30,196,3,0.015721,339.62,517,5,0.008961,367.36,924,7,0.007133,347.63,466,4,0.009605,317.01
August,1,18:00,150,1,0.008314,344.76,445,7,0.0166,369.96,779,10,0.013196,347.06,389,4,0.009019,321.1
August,1,18:30,132,2,0.011968,350.23,409,7,0.016255,367.01,695,11,0.015808,349.78,341,2,0.004667,329.86
August,1,19:00,87,1,0.006438,343.39,363,5,0.012444,360.23,616,15,0.023999,349.02,315,1,0.004728,328.41
August,1,19:30,68,0,0.000383,338.13,325,6,0.018039,352.24,546,20,0.03634,347.05,284,1,0.001927,323.78
August,1,20:00,53,0,3e-06,317.41,286,10,0.035317,349.35,457,18,0.039011,347.5,243,1,0.003083,312.52
